vOTU	type	present_samples	total_samples_in_type	prevalence	prevalence_percent	mean_abundance_all_samples	mean_abundance_present_samples	total_abundance
swine-134104	swine	42	1758	0.0238907849829352	2.38907849829352	0.00014473366894198	0.00605813785714286	0.25444179
swine-37789	swine	42	1758	0.0238907849829352	2.38907849829352	0.000141735893060296	0.00593265952380952	0.2491717
cattle-586486	swine	42	1758	0.0238907849829352	2.38907849829352	0.000141716564277588	0.00593185047619048	0.24913772
swine-87126	swine	42	1758	0.0238907849829352	2.38907849829352	0.000139324164391354	0.00583171145238095	0.244931881
swine-257574	swine	42	1758	0.0238907849829352	2.38907849829352	0.000139302203071672	0.00583079221428571	0.244893273
swine-195795	swine	42	1758	0.0238907849829352	2.38907849829352	0.00013896476109215	0.00581666785714286	0.24430005
swine-440479	swine	42	1758	0.0238907849829352	2.38907849829352	0.000137438327645051	0.00575277571428571	0.24161658
swine-33575	swine	42	1758	0.0238907849829352	2.38907849829352	0.000127875406143345	0.00535249914285714	0.224804964
swine-416799	swine	42	1758	0.0238907849829352	2.38907849829352	0.000127551560295791	0.00533894388095238	0.224235643
swine-135683	swine	42	1758	0.0238907849829352	2.38907849829352	0.000127253040386803	0.00532644869047619	0.223710845
swine-119041	swine	42	1758	0.0238907849829352	2.38907849829352	0.000124812131399317	0.00522427921428571	0.219419727
swine-243170	swine	42	1758	0.0238907849829352	2.38907849829352	0.00012468426109215	0.00521892692857143	0.219194931
swine-156229	swine	42	1758	0.0238907849829352	2.38907849829352	0.00012243693003413	0.00512486007142857	0.215244123
swine-252780	swine	42	1758	0.0238907849829352	2.38907849829352	0.000117894150170648	0.00493471228571429	0.207257916
swine-95991	swine	42	1758	0.0238907849829352	2.38907849829352	0.000117453428327645	0.00491626492857143	0.206483127
swine-485050	swine	42	1758	0.0238907849829352	2.38907849829352	0.000117076440273038	0.00490048528571429	0.205820382
swine-121958	swine	42	1758	0.0238907849829352	2.38907849829352	0.000114057233788396	0.00477410992857143	0.200512617
swine-374860	swine	42	1758	0.0238907849829352	2.38907849829352	0.000113470872013652	0.0047495665	0.199481793
swine-459658	swine	42	1758	0.0238907849829352	2.38907849829352	0.000112581300341297	0.00471233157142857	0.197917926
swine-517649	swine	42	1758	0.0238907849829352	2.38907849829352	0.00011139770705347	0.00466278973809524	0.195837169
swine-445538	swine	42	1758	0.0238907849829352	2.38907849829352	0.000110850584186576	0.00463988873809524	0.194875327
