sample	Continent	Shannon_index	nReads	sum_len	num_seqs	Shannon_residual
CNS0178753	Asia	6.23231	140919980	704940293	849281	0.575681396103165
CNS0178754	Asia	5.42452	136556404	630999618	708163	-0.143636829860554
CNS0178755	Asia	6.21985	260170572	1173905488	1375823	-0.0128192932475343
CNS0178756	Asia	5.32431	147668118	720803067	853071	-0.365404112424168
CNS0178757	Asia	5.2335	145554266	610736654	701194	-0.28570971611345
CNS0178758	Asia	6.47472	317352686	1250230207	1315251	0.120740279580638
CNS0178759	Asia	5.84097	312595024	1359432576	1555408	-0.565351067088868
CNS0178760	Asia	6.26649	216687468	898075968	1111773	0.358604883721602
CNS0178761	Asia	5.8132	131772645	723209095	801124	0.0849990074856248
CNS0178762	Asia	6.52349	338068004	1289629353	1408974	0.15453813026897
CNS0178763	Asia	5.06886	176915228	846432286	1041160	-0.778986822223108
CNS0178764	Asia	6.09921	168843242	697091591	750205	0.40179224389973
CNS0178765	Asia	5.55923	163539512	673192509	729599	-0.0960605816670893
CNS0178766	Asia	5.46572	165261765	705367980	759654	-0.24491916300631
CNS0178767	Asia	5.87668	156624331	624729466	709794	0.328009542754559
CNS0178768	Asia	4.79932	186233462	885102744	1050784	-1.11548927110619
CNS0178769	Asia	6.91665	215437672	1225488975	1494615	0.652595395042017
CNS0178770	Asia	5.65142	152168122	700706172	886971	0.0273880649977918
CNS0178771	Asia	6.13059	263693830	1286697669	1543351	-0.193231644357233
CNS0178772	Asia	5.79999	240726663	924742111	1030870	-0.191253355043163
CNS0178773	Asia	5.3643	180997859	922828051	1059735	-0.614338324955988
CNS0178774	Asia	5.54922	157768200	818792113	1006625	-0.263463692975136
CNS0178775	Asia	6.1687	204984057	1220951841	1516649	-0.0828440297760975
CNS0178776	Asia	5.27299	173749449	802681223	981194	-0.518726840258599
CNS0178777	Asia	5.99107	184781212	871075154	1043028	0.0983220982981029
CNS0178778	Asia	6.32929	269401420	1249774495	1479034	0.0317642257798802
CNS0178779	Asia	6.16755	299213964	1272633411	1494171	-0.152603193715851
CNS0178780	Asia	5.86105	174081559	668546881	750668	0.232140464398008
CNS0178781	Asia	6.40631	184335462	819734210	982345	0.582062037098147
CNS0178782	Asia	6.28302	187605733	1057751864	1257216	0.169038583529315
CNS0178783	Asia	6.27232	199912751	1073272029	1337297	0.166504451998085
CNS0178784	Asia	6.32348	267825383	1145458277	1279699	0.0949294387660242
CNS0178785	Asia	5.63238	201179973	803909567	876200	-0.215864336210432
CNS0178786	Asia	5.49009	252116594	950832641	1061323	-0.530987528191547
CNS0178787	Asia	5.67798	194232593	868517865	1060130	-0.201118059020576
CNS0178788	Asia	5.85115	194662652	908324858	1123852	-0.07142534487501
CNS0178789	Asia	6.18133	217536085	944597285	1100054	0.186429800342099
CNS0178790	Asia	5.64215	151174059	632190202	752014	0.102469084775624
CNS0178791	Asia	6.00628	173800332	828075067	1005110	0.176115574635485
CNS0178792	Asia	5.77328	232826619	1099483163	1287858	-0.387968796595459
CNS0178793	Asia	6.20144	237003876	1172480678	1454715	-0.00296563619361367
CNS0178794	Asia	6.0741	324813424	1470814705	1703384	-0.413900342392628
CNS0178795	Asia	5.56156	158619228	892056350	1081494	-0.354112163256108
CNS0178796	Asia	5.38038	165985893	594964092	692692	-0.100452517116552
CNS0178797	Asia	5.752	156956978	810536756	882149	-0.110092545436545
CNS0178798	Asia	5.70001	147750659	494449339	546182	0.398715771108356
CNS0178800	Asia	5.84164	192637110	954152398	1063745	-0.188197778979799
CNS0178801	Asia	5.8265	174604784	709553815	760539	0.107726360105819
CNS0178802	Asia	5.97822	168261262	873229209	1100639	0.106768649419453
CNS0178803	Asia	6.08779	186045402	926494602	1141479	0.140171200990391
CNS0178804	Asia	5.92748	162876400	881156802	985803	-0.0140018922250785
CNS0178805	Asia	6.29742	230280120	981604871	1142123	0.259866690812663
CNS0178806	Asia	5.9718	182534150	798654456	872441	0.130500404747477
CNS0178807	Asia	5.92415	169088191	836992543	899347	0.0208287231811613
CNS0178808	Asia	4.35638	307457862	1071635800	1153201	-1.81392936990748
CNS0178809	Asia	5.33947	152757799	772392975	894861	-0.437852505461487
CNS0178811	Asia	5.95235	269997361	885822636	1017799	0.0262061628680181
CNS0178812	Asia	5.82839	161423878	952888991	1117608	-0.177493310370012
CNS0178813	Asia	4.5077	165032080	687111956	821006	-1.12180828069174
CNS0178814	Asia	6.2575	167441452	853597715	1003413	0.376738561284255
CNS0178815	Asia	5.62309	144725748	787411086	927856	-0.16824226133651
CNS0178816	Asia	5.786	324413324	1444042151	1689791	-0.676256646307743
CNS0178817	Asia	5.61319	152353885	809743219	919433	-0.227169221141985
CNS0178818	Asia	5.98376	176024598	749036935	796405	0.200356698263694
CNS0178819	Asia	6.31258	186455428	800753960	919162	0.493345507993346
CNS0178820	Asia	6.15762	172942920	929266818	1034483	0.154989808282456
CNS0178821	Asia	5.67913	179910580	708648543	782942	-0.0226442907060658
CNS0178822	Asia	5.41443	163074990	751684721	856767	-0.339509581316776
CNS0178823	Asia	5.48929	175578748	712119224	789836	-0.216416168031019
CNS0178824	Asia	5.45843	146334855	650867306	703622	-0.162048515152903
CNS0178825	Asia	5.56645	260070116	861920601	918748	-0.366974592901766
CNS0178826	Asia	5.74052	154807294	849932828	1010636	-0.130939501245699
CNS0178827	Asia	6.00079	276665893	1279462453	1517731	-0.321476919752066
CNS0178828	Asia	5.87343	150355525	595565364	632137	0.343838734445252
CNS0178829	Asia	6.00203	253636222	1103896259	1252940	-0.17804446858207
CNS0178830	Asia	5.66084	128102888	652155928	753163	0.068943044223237
CNS0178831	Asia	5.19436	157661140	415375821	439657	0.0682805462422725
CNS0178832	Asia	5.90355	190782277	692326562	783199	0.24060711580687
CNS0178833	Asia	5.58609	156194797	679854667	706278	-0.102055797343041
CNS0178834	Asia	5.44348	187686018	723715210	839726	-0.256829309957821
CNS0178835	Asia	5.79996	175232614	816197332	906686	-0.0580007824545573
CNS0178836	Asia	5.71976	183150455	680912238	827550	0.110531449001092
CNS0178837	Asia	5.78113	168163377	829931642	945489	-0.083637777262205
CNS0178838	Asia	5.3976	143575411	637278100	727396	-0.172455223517331
CNS0178839	Asia	5.77659	169790104	807507697	1106376	0.0346016383319706
CNS0178840	Asia	6.3225	157159709	819534828	999496	0.504747040681331
CNS0178841	Asia	5.7557	159624507	762597722	913412	0.00996254871791177
CNS0178842	Asia	6.24684	162229483	943559272	1147501	0.270117742012883
CNS0178843	Asia	5.12884	172395708	592722342	637762	-0.386428166099592
CNS0178844	Asia	5.38287	164470600	760033183	766939	-0.443986749203829
CNS0178845	Asia	5.22683	185025872	778954376	802820	-0.615222430978467
CNS0178846	Asia	4.22362	205744762	792503112	838201	-1.62320586816447
CNS0178847	Asia	5.95778	168161477	620111313	708846	0.421583985356001
CNS0178848	Asia	5.80532	158483463	599658382	656323	0.284167278117415
CNS0178849	Asia	6.34146	178294014	876632957	984132	0.408898522651451
CNS0178850	Asia	5.88198	171434059	790779551	968150	0.107580984982282
CNS0178851	Asia	5.53815	184101248	733095188	796366	-0.20972578712587
CNS0178852	Asia	5.93733	248689486	1054067037	1170265	-0.202241385852963
CNS0178853	Asia	5.4568	178868817	693201236	737699	-0.239014640053611
CNS0178854	Asia	6.18245	251357843	1270671786	1488196	-0.139953303372005
CNS0178855	Asia	5.83756	217675408	868968182	1000448	-0.06943604147185
CNS0178856	Asia	6.22365	262228183	1093255950	1280416	0.0705927912335092
CNS0178857	Asia	5.79823	145778739	830955165	930320	-0.0788455639970995
CNS0178858	Asia	5.90463	164024642	628452818	697182	0.338135343922569
CNS0178859	Asia	6.24945	146148572	709953042	775316	0.536539148764286
CNS0178860	Asia	6.44304	138383468	689147039	771143	0.774754254180383
CNS0178861	Asia	4.84603	153742963	642123542	764824	-0.71022354918507
CNS0178862	Asia	5.60425	206978396	736537105	737978	-0.187285513821788
CNS0178863	Asia	5.85325	261444443	1123077214	1298985	-0.33627192978156
CNS0178864	Asia	5.61345	175706684	1007521316	1240681	-0.429359698991471
CNS0178865	Asia	5.83326	181619582	883645581	1069259	-0.0705963316461488
CNS0178866	Asia	5.88706	176000819	799533684	965893	0.0940823466315413
CNS0178867	Asia	5.23354	151927505	639584819	679237	-0.375590380084715
CNS0178868	Asia	5.67739	147373764	699029481	797336	0.00367317867361726
CNS0178869	Asia	6.10756	195300387	813963571	935621	0.271396267713874
CNS0178870	Asia	6.4689	293138721	1203112249	1392222	0.20421265808674
CNS0178871	Asia	5.6367	155864760	561398120	680478	0.240068218638481
CNS0178872	Asia	5.57769	155440003	586796986	676181	0.106192624291072
CNS0178873	Asia	5.23989	186964662	715899942	827673	-0.450095075886702
CNS0178874	Asia	5.50579	174829471	873015228	1065732	-0.380710942982936
CNS0178875	Asia	4.85802	125424858	475558823	501864	-0.42491543629074
CNS0178876	Asia	5.23084	164998753	599674632	641692	-0.300948379958419
CNS0178877	Asia	6.13165	289327973	1198692316	1338557	-0.146860332458552
CNS0178878	Asia	6.28307	206710137	896967481	1106503	0.374074222349955
CNS0178879	Asia	5.98096	157257239	812344986	937297	0.145489243806899
CNS0178880	Asia	6.15023	191370748	891436582	1046186	0.222117390847091
CNS0178881	Asia	5.72788	179085777	790981634	855531	-0.107833315414557
CNS0178882	Asia	6.12783	216622835	1034852544	1178774	0.0194831690973498
CNS0178883	Asia	5.70061	150592610	584857671	653045	0.21663467711554
CNS0178884	Asia	6.74765	247256507	1137023279	1349667	0.556320529445482
CNS0178885	Asia	6.13197	184867136	649006242	763236	0.560325221315833
CNS0178886	Asia	6.48612	164914840	738644463	834567	0.7476270086907
CNS0178887	Asia	5.62243	170260651	650230282	689372	-0.00426053935232027
CNS0178888	Asia	5.42094	142679762	778179897	920361	-0.35555638725927
CNS0178889	Asia	5.99852	190600620	730655870	854196	0.291504146406176
CNS0178890	Asia	5.0156	174548583	478492227	494054	-0.279886240975992
