comparison_level	dataset	scope	feature	top10_threshold_ARG_annotations	denominator_MAG_count	MAG_count	annotation_count	annotation_percent	unique_ARG_name_count	multidrug_ARG_annotation_count	multidrug_ARG_percent_within_feature
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Ralstonia	NA	1590	4	8	0.0198599870910084	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	RUG410	NA	1590	5	8	0.0198599870910084	4	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Stenotrophomonas	NA	1590	6	8	0.0198599870910084	7	3	37.5
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Marinospirillum	NA	1590	7	7	0.0173774887046323	1	7	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Oligella	NA	1590	2	7	0.0173774887046323	7	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Parasutterella	NA	1590	5	7	0.0173774887046323	6	1	14.2857142857143
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Agrobacterium	NA	1590	3	6	0.0148949903182563	4	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Bordetella	NA	1590	4	6	0.0148949903182563	2	4	66.6666666666667
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Chiayiivirga	NA	1590	5	6	0.0148949903182563	4	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Cellvibrionaceae (unclassified at genus level)	NA	1590	5	5	0.0124124919318802	1	5	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	JAEZAA01	NA	1590	5	5	0.0124124919318802	1	5	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Nitratireductor_C	NA	1590	2	5	0.0124124919318802	3	2	40
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudoxanthomonas_A	NA	1590	5	5	0.0124124919318802	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	WG-1	NA	1590	2	5	0.0124124919318802	4	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Azonexus	NA	1590	3	4	0.0099299935455042	3	1	25
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Bradyrhizobium	NA	1590	4	4	0.0099299935455042	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	JAFAFE01	NA	1590	1	4	0.0099299935455042	4	1	25
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Paenalcaligenes	NA	1590	1	4	0.0099299935455042	4	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Providencia_C	NA	1590	1	4	0.0099299935455042	4	1	25
genus	Pseudomonadota AR-MAG	all_AR_MAGs	PZPK01	NA	1590	2	4	0.0099299935455042	3	2	50
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Aliidiomarina	NA	1590	3	3	0.00744749515912815	1	3	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	CAZU01	NA	1590	3	3	0.00744749515912815	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Ignatzschineria	NA	1590	3	3	0.00744749515912815	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudorhizobium	NA	1590	2	3	0.00744749515912815	3	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Qipengyuania	NA	1590	1	3	0.00744749515912815	3	1	33.3333333333333
genus	Pseudomonadota AR-MAG	all_AR_MAGs	ZC4RG25	NA	1590	2	3	0.00744749515912815	3	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Aeromonas	NA	1590	2	2	0.0049649967727521	1	2	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Aquamicrobium_A	NA	1590	1	2	0.0049649967727521	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Aureimonas	NA	1590	1	2	0.0049649967727521	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Azoarcus	NA	1590	1	2	0.0049649967727521	2	1	50
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Azovibrio	NA	1590	2	2	0.0049649967727521	1	2	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Brevundimonas	NA	1590	1	2	0.0049649967727521	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Edwardsiella	NA	1590	1	2	0.0049649967727521	2	2	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Enterousia	NA	1590	2	2	0.0049649967727521	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	HGM20899	NA	1590	2	2	0.0049649967727521	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	JACCES01	NA	1590	1	2	0.0049649967727521	2	1	50
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Lysobacter_C	NA	1590	1	2	0.0049649967727521	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Magnetospirillum	NA	1590	1	2	0.0049649967727521	2	1	50
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Plesiomonas	NA	1590	1	2	0.0049649967727521	2	2	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudidiomarina	NA	1590	2	2	0.0049649967727521	2	1	50
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudohongiella	NA	1590	2	2	0.0049649967727521	1	2	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudomonas_O	NA	1590	1	2	0.0049649967727521	2	2	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Scatacola_A	NA	1590	2	2	0.0049649967727521	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	SFHR01	NA	1590	2	2	0.0049649967727521	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Shinella	NA	1590	2	2	0.0049649967727521	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Sphingobium	NA	1590	2	2	0.0049649967727521	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Succinatimonas	NA	1590	2	2	0.0049649967727521	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	UBA2810	NA	1590	2	2	0.0049649967727521	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Alcaligenes	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	CAG-267	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	CAJOOW01	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	CALXWF01	NA	1590	1	1	0.00248249838637605	1	1	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	CALYQQ01	NA	1590	1	1	0.00248249838637605	1	1	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Croceibacterium	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Devosia	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	DSM-21159 (unclassified at genus level)	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Herbaspirillum	NA	1590	1	1	0.00248249838637605	1	1	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	JAAYIK01	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	JAGOXX01	NA	1590	1	1	0.00248249838637605	1	1	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Lacisediminimonas	NA	1590	1	1	0.00248249838637605	1	1	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Ochrobactrum_A	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Ottowia	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudomonas_K	NA	1590	1	1	0.00248249838637605	1	1	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pusillimonas	NA	1590	1	1	0.00248249838637605	1	1	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	UBA2804	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	UBA7488	NA	1590	1	1	0.00248249838637605	1	0	0
genus	Livestock isolate Pseudomonadota	all_isolates	Escherichia	NA	3521	2441	137311	81.7239819543144	258	65974	48.0471338785676
genus	Livestock isolate Pseudomonadota	all_isolates	Salmonella	NA	3521	572	21660	12.891475913295	121	11995	55.3785780240074
genus	Livestock isolate Pseudomonadota	all_isolates	Klebsiella	NA	3521	83	3588	2.13548548369817	136	1372	38.2385730211817
genus	Livestock isolate Pseudomonadota	all_isolates	Acinetobacter	NA	3521	204	2161	1.2861717196967	103	412	19.0652475705692
genus	Livestock isolate Pseudomonadota	all_isolates	Enterobacter	NA	3521	28	930	0.553512123701032	91	436	46.8817204301075
genus	Livestock isolate Pseudomonadota	all_isolates	Proteus	NA	3521	40	682	0.40590889071409	73	104	15.2492668621701
genus	Livestock isolate Pseudomonadota	all_isolates	Pseudomonas	NA	3521	13	617	0.367222559487674	80	475	76.9854132901134
genus	Livestock isolate Pseudomonadota	all_isolates	Citrobacter	NA	3521	15	551	0.327941053934697	79	223	40.4718693284936
genus	Livestock isolate Pseudomonadota	all_isolates	Yersinia	NA	3521	13	106	0.0630884786153865	11	40	37.7358490566038
genus	Livestock isolate Pseudomonadota	all_isolates	Aeromonas	NA	3521	24	86	0.0511849920841815	6	24	27.906976744186
genus	Livestock isolate Pseudomonadota	all_isolates	Providencia	NA	3521	7	80	0.04761394612482	30	19	23.75
genus	Livestock isolate Pseudomonadota	all_isolates	Morganella	NA	3521	2	42	0.0249973217155305	31	6	14.2857142857143
genus	Livestock isolate Pseudomonadota	all_isolates	Leclercia	NA	3521	1	33	0.0196407527764882	32	12	36.3636363636364
genus	Livestock isolate Pseudomonadota	all_isolates	Achromobacter	NA	3521	10	26	0.0154745324905665	8	20	76.9230769230769
genus	Livestock isolate Pseudomonadota	all_isolates	Atlantibacter	NA	3521	2	24	0.014284183837446	14	8	33.3333333333333
genus	Livestock isolate Pseudomonadota	all_isolates	Kosakonia	NA	3521	1	20	0.011903486531205	18	11	55
genus	Livestock isolate Pseudomonadota	all_isolates	Stenotrophomonas	NA	3521	5	15	0.00892761489840374	9	9	60
genus	Livestock isolate Pseudomonadota	all_isolates	Serratia_A	NA	3521	2	12	0.00714209191872299	6	6	50
genus	Livestock isolate Pseudomonadota	all_isolates	Ochrobactrum	NA	3521	5	8	0.004761394612482	6	0	0
genus	Livestock isolate Pseudomonadota	all_isolates	Stutzerimonas	NA	3521	7	8	0.004761394612482	2	7	87.5
genus	Livestock isolate Pseudomonadota	all_isolates	Gallibacterium	NA	3521	1	6	0.0035710459593615	6	4	66.6666666666667
genus	Livestock isolate Pseudomonadota	all_isolates	Luteimonas_D	NA	3521	6	6	0.0035710459593615	6	2	33.3333333333333
genus	Livestock isolate Pseudomonadota	all_isolates	Povalibacter	NA	3521	4	4	0.002380697306241	1	4	100
genus	Livestock isolate Pseudomonadota	all_isolates	Pseudomonas_E	NA	3521	3	4	0.002380697306241	2	3	75
genus	Livestock isolate Pseudomonadota	all_isolates	Comamonas	NA	3521	1	3	0.00178552297968075	3	1	33.3333333333333
genus	Livestock isolate Pseudomonadota	all_isolates	Halopseudomonas	NA	3521	3	3	0.00178552297968075	1	3	100
genus	Livestock isolate Pseudomonadota	all_isolates	Pseudomonas_H	NA	3521	3	3	0.00178552297968075	1	3	100
